datetime,Salmo_Salar_Downstream,P95days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
11/2/2020,4,4,0.951612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2020,8,8,0.927419355,0.822580645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/4/2020,6,6,0.883064516,0.794354839,0.633064516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/5/2020,0,0,0.834677419,0.802419355,0.745967742,0.580645161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/6/2020,2,2,0.830645161,0.733870968,0.677419355,0.641129032,0.52016129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2020,0,0,0.762096774,0.701612903,0.657258065,0.584677419,0.592741935,0.431451613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/8/2020,5,5,0.786290323,0.584677419,0.60483871,0.588709677,0.536290323,0.556451613,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/9/2020,0,0,0.725806452,0.725806452,0.576612903,0.544354839,0.564516129,0.504032258,0.512096774,0.411290323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/10/2020,1,1,0.733870968,0.665322581,0.665322581,0.556451613,0.504032258,0.516129032,0.5,0.467741935,0.411290323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/11/2020,10,10,0.713709677,0.661290323,0.596774194,0.584677419,0.516129032,0.5,0.536290323,0.463709677,0.427419355,0.346774194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2020,74,74,0.653225806,0.588709677,0.588709677,0.504032258,0.552419355,0.516129032,0.463709677,0.459677419,0.39516129,0.427419355,0.346774194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2020,6,6,0.564516129,0.495967742,0.443548387,0.483870968,0.431451613,0.508064516,0.491935484,0.467741935,0.467741935,0.39516129,0.399193548,0.326612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2020,3,3,0.524193548,0.411290323,0.391129032,0.370967742,0.379032258,0.370967742,0.487903226,0.411290323,0.399193548,0.419354839,0.342741935,0.375,0.298387097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2020,3,3,0.548387097,0.443548387,0.391129032,0.39516129,0.346774194,0.411290323,0.346774194,0.423387097,0.403225806,0.383064516,0.379032258,0.314516129,0.346774194,0.274193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/16/2020,4,4,0.375,0.387096774,0.407258065,0.298387097,0.282258065,0.310483871,0.35483871,0.326612903,0.415322581,0.387096774,0.366935484,0.346774194,0.282258065,0.306451613,0.254032258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2020,5,5,0.391129032,0.366935484,0.358870968,0.338709677,0.27016129,0.302419355,0.302419355,0.306451613,0.298387097,0.431451613,0.334677419,0.366935484,0.310483871,0.254032258,0.298387097,0.22983871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/18/2020,3,3,0.483870968,0.463709677,0.338709677,0.330645161,0.334677419,0.258064516,0.266129032,0.25,0.282258065,0.278225806,0.391129032,0.302419355,0.334677419,0.266129032,0.237903226,0.282258065,0.201612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/19/2020,27,27,0.322580645,0.411290323,0.411290323,0.262096774,0.241935484,0.27016129,0.237903226,0.290322581,0.258064516,0.294354839,0.274193548,0.387096774,0.290322581,0.298387097,0.25,0.221774194,0.254032258,0.189516129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
