datetime,Salmo_Salar_Downstream,P65days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
11/23/2020,0,0,0.955645161,0.810483871,0.778225806,0.717741935,0.592741935,0.661290323,0.616935484,0.451612903,0.52016129,0.508064516,0.407258065,0.47983871,0.471774194,0.471774194,0.451612903,0.544354839,0.47983871,0.471774194,0.379032258,0.338709677,0.423387097,0.334677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/24/2020,2,2,0.923387097,0.866935484,0.741935484,0.709677419,0.705645161,0.588709677,0.60483871,0.544354839,0.423387097,0.483870968,0.459677419,0.370967742,0.467741935,0.435483871,0.487903226,0.431451613,0.556451613,0.483870968,0.463709677,0.370967742,0.318548387,0.375,0.27016129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/25/2020,0,0,0.89516129,0.822580645,0.741935484,0.620967742,0.616935484,0.608870968,0.536290323,0.560483871,0.532258065,0.399193548,0.419354839,0.39516129,0.346774194,0.427419355,0.415322581,0.415322581,0.419354839,0.524193548,0.463709677,0.415322581,0.350806452,0.318548387,0.358870968,0.237903226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/26/2020,0,0,0.842741935,0.713709677,0.681451613,0.649193548,0.528225806,0.512096774,0.564516129,0.5,0.5,0.5,0.366935484,0.39516129,0.366935484,0.306451613,0.435483871,0.383064516,0.399193548,0.387096774,0.524193548,0.403225806,0.370967742,0.314516129,0.266129032,0.350806452,0.209677419,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/27/2020,1,1,0.850806452,0.725806452,0.596774194,0.612903226,0.532258065,0.467741935,0.439516129,0.524193548,0.435483871,0.439516129,0.491935484,0.346774194,0.358870968,0.350806452,0.334677419,0.439516129,0.375,0.399193548,0.358870968,0.47983871,0.39516129,0.366935484,0.306451613,0.22983871,0.314516129,0.213709677,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2020,0,0,0.733870968,0.697580645,0.612903226,0.5,0.528225806,0.467741935,0.39516129,0.358870968,0.459677419,0.39516129,0.423387097,0.443548387,0.294354839,0.350806452,0.306451613,0.294354839,0.407258065,0.322580645,0.346774194,0.346774194,0.447580645,0.35483871,0.338709677,0.266129032,0.221774194,0.294354839,0.209677419,NA,NA,NA,NA,NA,NA,NA
11/29/2020,0,0,0.661290323,0.620967742,0.637096774,0.532258065,0.47983871,0.431451613,0.399193548,0.350806452,0.314516129,0.419354839,0.338709677,0.39516129,0.411290323,0.286290323,0.318548387,0.282258065,0.262096774,0.375,0.326612903,0.350806452,0.322580645,0.407258065,0.334677419,0.306451613,0.233870968,0.237903226,0.278225806,0.181451613,NA,NA,NA,NA,NA,NA
11/30/2020,0,0,0.596774194,0.532258065,0.556451613,0.568548387,0.435483871,0.443548387,0.375,0.411290323,0.334677419,0.245967742,0.387096774,0.350806452,0.362903226,0.322580645,0.266129032,0.310483871,0.278225806,0.25,0.358870968,0.286290323,0.322580645,0.302419355,0.399193548,0.310483871,0.302419355,0.225806452,0.225806452,0.262096774,0.197580645,NA,NA,NA,NA,NA
12/1/2020,0,0,0.487903226,0.528225806,0.47983871,0.524193548,0.532258065,0.419354839,0.407258065,0.35483871,0.346774194,0.334677419,0.254032258,0.306451613,0.338709677,0.330645161,0.286290323,0.221774194,0.274193548,0.245967742,0.241935484,0.330645161,0.286290323,0.290322581,0.254032258,0.350806452,0.274193548,0.266129032,0.237903226,0.197580645,0.22983871,0.225806452,NA,NA,NA,NA
12/2/2020,0,0,0.451612903,0.467741935,0.532258065,0.491935484,0.487903226,0.487903226,0.35483871,0.370967742,0.314516129,0.286290323,0.282258065,0.237903226,0.282258065,0.278225806,0.290322581,0.282258065,0.233870968,0.217741935,0.217741935,0.233870968,0.298387097,0.254032258,0.278225806,0.25,0.330645161,0.245967742,0.282258065,0.233870968,0.213709677,0.213709677,0.193548387,NA,NA,NA
